,"iShares 7-10 Year
Treasury Bond",Vanguard Real Estate,"iShares MSCI
Emerging Markets","iShares Russell
1000 Growth","iShares Russell
2000 Value","iShares 20+ Year
Treasury Bond","iShares Russell
2000 Growth","iShares Russell
1000 Value","iShares
MSCI EAFE",SPDR Gold Trust,PowerShares DB Commodities
,NASDAQ:IEF,NYSEARCA:VNQ,NYSEARCA:EEM,NYSEARCA:IWF,NYSEARCA:IWN,NASDAQ:TLT,NYSEARCA:IWO,NYSEARCA:IWD,NYSEARCA:EFA,NYSEARCA:GLD,NYSEARCA:DBC
0,114.23,98.73,53.81,252.55,165.15,137.78,289.24,162.3,80.13,172.08,18.61
1,113.54,53.23,53.23,256.94,160.64,137.45,300.7,154.95,77.56,162.28,16.79
2,114.71,90.11,54.97,242.33,167.19,139.01,316.87,151.01,76.09,161.52,17.5
3,117.97,88.9,56.94,252.8,152.07,148.79,336.63,143.52,75.64,172.08,16.18
4,118.01,81.97,53.97,241.26,139.96,151.07,302.66,140.88,74.74,173,15.13
5,120.15,84.39,50.72,232.47,129.45,158.77,274.65,135.35,72.18,172.49,14.24
6,119.46,84.26,48.02,226.12,117.16,155.72,250.03,129.21,69.33,174.9,13.52
7,121.14,83.41,46.23,229.19,109.33,160.6,241.03,124.25,66.06,180.56,13.2
8,121.9,82.21,44.64,215.06,103.73,164.47,221.75,121.3,65.15,183.89,12.91
9,121.37,81.14,44.32,212.49,107.24,163.82,226.49,121.38,65.2,183.33,13.24
10,122.01,77.84,43.01,200.56,95.25,167.12,207.82,114.88,62.84,170.19,12.59
11,121.29,81.77,39.28,186.29,97.4,162.39,201.64,114.47,60.69,162.33,12.12
12,121.95,68.8,36.03,175.14,83.53,166.71,183.36,104.99,55.16,163.93,11.2
13,121.94,74.63,35.28,164.55,83.19,168.18,165.06,105.2,54.27,161.85,11.42
14,120.45,65.39,31.63,138.06,77.41,163.91,140.3,93.84,47.45,141.64,11.38
15,113.48,99.45,43.91,190.97,125.58,145.54,223.74,137.8,68.76,150.91,14.76
16,111.39,94.63,45.97,183.86,129.5,139.21,222.59,138.21,70.17,146.31,15.72
17,110.65,90.14,44.26,173.22,127.94,137.6,212.56,135.33,69.22,139.01,16.05
18,111.37,93.09,43.06,169.39,123.97,138.01,203.6,133.52,68.4,138.62,15.42
19,111.95,94.53,41.98,161.08,120.36,139.58,194.66,127.99,66.27,140.46,15.25
20,111.31,93.12,41.74,162.22,122.23,139.62,201.17,130.05,65.49,140.71,15.38
21,113.07,91.84,39.7,159.76,115.23,144.04,196.44,124.69,62.63,141.11,14.9
22,109.67,87.35,42.87,161.91,118.23,131.94,200.56,128.21,65.58,134.45,15.51
23,109.99,91.52,42.91,159.39,120.17,132.89,201.68,127.2,65.65,131.11,15.66
24,106.43,87.33,40.63,153.6,120.8,125.53,197.07,124.9,64.94,120.36,15.98
25,105.17,84.55,44.27,156.12,122.18,122.31,198.03,126.07,66.56,120.37,16.29
26,106.34,86.22,42.43,149.38,116.98,124.86,192.2,121.99,64.31,123.97,15.94
27,104.6,84.54,42.66,146.99,125.5,121.94,198.74,123.63,64.04,126.48,16
28,103.79,79.19,40.83,137.75,116.26,120.37,181.89,116.97,61.12,121.45,15.45
29,103.48,71.74,38.16,121.77,102.04,121.32,156.33,104.79,56.89,120.02,14.39
30,101.31,79.98,39.74,135.36,120.32,115.14,183.55,119.31,61.78,115.77,15.3
31,100.39,77.37,39.66,144.45,121.94,113.92,190.3,120.35,62.86,116.39,17.38
32,100.89,80.17,42.74,155.48,134.43,116.8,215.86,128.59,68.32,113.47,17.75
33,102.89,83.42,43.37,153,136.84,122.29,216.66,126.82,67.32,114.16,17.21
34,101.72,81.14,45.03,151.88,133.59,119.49,211.27,124.4,68.98,116.68,17.32
35,102.25,80.58,43.33,143.62,133.35,120.8,205.76,121.35,66.86,119.89,17.23
36,103,78.1,45.35,141.68,130.54,122.24,201.35,120.25,68.79,123.19,17.85
37,101.42,75.1,46.97,137.24,125.4,117.98,192.86,121.42,70.9,124.97,17.49
38,103,73.71,47.53,134.69,120.42,120.99,189.05,118.52,68.65,127.49,16.9
39,102.25,75.15,50.18,143.36,125.16,118.17,193.4,125.9,72.01,126.45,16.95
40,103.77,79.69,52.08,146.1,129.95,123.59,197.73,131.54,75.25,128.07,17.25
41,105.53,82.51,46.58,135.06,126.28,126.77,187.47,124.44,70.22,122.23,16.48
42,106.35,84.55,47.01,132.85,124.58,126.62,183.75,119.68,69.92,122.83,16.41
43,106.23,82.21,45.85,129.62,123.54,124.42,179.75,119.34,69.34,121.13,15.97
44,106.65,82.92,44.3,124.51,124.09,124.48,178.31,118.33,68.08,122.21,15.48
45,108.16,83.09,44.69,122.05,114.73,127.65,166.63,114.98,66.48,124.42,14.8
46,106.85,84.26,43.8,121.7,119.1,124.04,170.06,117.2,66.93,120.75,15.04
47,106.61,83.23,41.39,119.02,118.87,125.12,168.77,116.43,65.2,118.02,14.45
48,107.32,82.19,41.2,119.34,114.97,124.4,163.33,114.53,66.06,120.62,14.59
49,106.21,83.28,40.29,116.76,119.17,121.08,165.81,114.79,64.06,119.67,14.83
50,105.95,82.83,39.61,113.57,116.89,121.67,159.9,114.64,62.2,119.35,15.15
51,104.47,84.54,37.9,113.66,120.21,119.04,161.75,117.5,60.57,117.58,15.54
52,105.05,82.37,37.34,108.35,117.93,120.1,156.24,112.71,59.63,115.55,15.75
53,104.51,81.5,35.26,105.57,119.41,118.95,154.62,112.12,57.53,110.29,15.81
54,105.18,80,35.12,103.15,114.82,119.6,150.56,110.05,56.71,112.14,15.6
55,110.24,78.81,36.4,100.4,99.07,131.58,136.31,102.53,57.18,123.64,14.85
56,111.47,85.12,37.71,103.92,104.27,136.81,148.57,105.21,58.97,125.32,15.14
57,111.77,88.97,36.53,104.18,104.35,139.87,147.06,106.39,58.35,124.78,14.39
58,112.58,90.27,36.2,104.64,101.3,139.45,144.97,104.84,57.5,129.87,14.3
59,113.71,89.68,33.95,100.28,95.98,142.33,136.01,102.29,54.74,129.47,15.1
60,110.6,83.86,34.24,101.49,98.45,132.24,140.93,103.22,59.04,118.92,15.17
61,110.41,85.59,32.83,98.85,94.6,130.45,131.2,99.99,57.38,123.18,14.12
62,110.47,83.22,33.48,100.73,91.81,131.23,133.62,98.6,56.22,116.94,12.99
63,108.9,80.08,32.77,96.55,91.9,128.56,130.44,97.36,56.29,121.14,13.39
64,110.57,73.35,29.6,88.8,82.13,131.49,114.29,89.42,52.81,113.83,12.47
65,106.88,78.51,29.83,94.43,87.1,122.81,129.53,93.18,55.6,106.15,12.86
66,106.17,78.8,32.95,101.41,94,121.81,143.3,98.72,59.56,102.84,13.71
67,105.19,76.88,34.42,101,96.72,118.33,145.28,100.57,60.31,104.4,14.79
68,107.44,78.99,35.94,97.32,96.06,122.28,141.16,98.55,61.05,110.87,15.76
69,106.54,72.45,32.99,95.07,92.39,121.45,142.68,94.76,59.06,106.13,15.12
70,105.99,78.54,36.91,101.81,97.73,122.8,152.09,103.3,65.4,105.72,15.76
71,104.36,77.87,38.7,101.01,101.79,115.69,156.59,103.58,64.54,110.99,17.28
72,104.62,77.52,40.24,100.92,103.65,117.95,155.52,105.74,66.73,113.26,17.77
73,105.75,79.51,42.32,100.25,101.44,119.84,149.65,104.72,67.03,114.5,18.33
74,108.3,82.3,42.63,100.13,103.87,129.8,153.81,104.24,65.84,115.14,17.36
75,106.56,82.38,38.3,98.31,101.61,126.72,149.6,102.76,63.09,110.88,16.95
76,107.5,84.62,39.37,97.76,100.28,129.95,144.03,103.96,62.43,117.07,17.83
77,108.35,85.78,38.95,94.44,98.93,131.82,140.52,102.79,59.5,118.56,17.34
78,106.62,79.78,37.79,93.07,96.68,126.04,135.26,100.78,59.97,114.39,19
79,104.88,79.1,41.1,95.19,100.45,118.91,138.05,103.37,63.27,111.67,21.41
80,106.1,74.75,41.16,86.82,91.65,121.57,123.04,95.54,60.45,118.59,22.25
81,102.92,73.5,43.57,92.14,98.42,113.55,134,101.92,65.88,118.64,23.86
82,104.92,76.23,44.51,90.93,98.04,117.71,132.95,100.13,66.13,125.48,24.94
83,103.38,76.2,44.31,91.1,99.88,113.46,132.52,101.9,68.22,124.97,25.65
84,102.81,74.03,43.41,89.67,100.95,112.43,135.32,100.12,69.74,122.42,26.47
85,103.35,74.34,42.94,87.18,97.21,112.7,127.76,97.15,68.35,124.58,26.25
86,101.79,71.77,42.01,85.74,99.08,110.05,130.41,96.36,67.53,124.75,26.64
87,102.31,70.82,39.41,88.06,102.18,108.1,142.15,95.75,66.35,130.62,25.87
88,101.9,69.12,39.18,86.11,96.86,106.52,135.65,93.04,66.24,125.49,25.69
89,100.96,66.39,39.79,85.7,98.68,105.48,137.81,93.72,66.81,120.93,24.91
90,100.55,66.03,41.3,84.2,97.92,102.77,132.03,92.98,64.7,117.61,25.4
91,102.24,67.12,42.63,82.96,95.29,105.36,129.04,91.97,66.18,122.9,25.18
92,102.24,69.44,43.24,80.81,95.45,106.7,129.78,89.66,66.18,126.98,26.2
93,100.89,69.22,43.04,79.83,92.13,104.37,126.11,88.76,64.74,131.75,26.2
94,100.25,64.94,38.49,75.52,88.88,103.26,119.03,85.86,61.17,132.45,26.38
95,102.74,72.55,39.67,76.43,92.43,109.36,120.11,88.46,61.01,128.84,26.21
96,102.03,66.61,37.41,72.23,84.54,108.4,110.58,82.87,57.94,125.05,25.43
97,106.27,76.25,42.96,75.41,86.6,116.09,111.76,85.62,62.89,131.94,26.08
98,108.64,73.7,41.84,71.2,80.88,122.92,103.5,80.63,59.35,137.9,25.81
99,106.97,69.56,41.92,70.53,83.63,117.22,106.95,80.41,58.62,155.24,27.18
100,106.31,68.82,43.09,68.28,80.39,116.95,102.05,77.98,57.66,152.62,27.6
101,107.17,68.44,44.71,68.17,79.68,120.27,101.35,76.81,58.18,163.67,28.06
102,107.52,65.61,43.18,65.49,75.02,122.03,94.87,72.75,56.36,160.62,27.43
103,108.14,64.04,41.63,65.33,71.7,124.21,91.89,71.43,54.54,169.61,28.06
104,107.16,64.5,41.08,64.71,72.58,121.48,92.22,71.63,53.38,164.86,27.45
105,107.84,65.77,41.74,67.54,75.5,122.5,96.94,72.96,54.35,171.05,28.33
106,108.12,66.46,39.64,65.88,71.7,125.54,92.81,70.48,52.13,161.36,28.39
107,109.53,65.9,38.45,63.12,68.52,130.95,88.99,67.99,49.33,156.77,27.14
108,107.93,62.86,37.41,61.49,67.29,126.34,87.77,65.73,47.67,152.62,24.81
109,106.89,62.92,37.33,62.43,67.87,122.94,87.76,65.72,48.27,151.41,25.96
110,105.6,65.64,42.31,66.29,72.7,117.29,94.74,69.7,54.06,161.38,28.3
111,103.36,63.1,42.69,65.97,73.46,113.28,95.85,70,54.75,161.51,28.88
112,105.49,61.6,43.75,64.22,72.43,118.54,95.39,68.81,54.87,171.7,29.44
113,106.08,61.4,41.75,61.33,70.06,119.47,90.68,65.95,51.87,168.03,27.9
114,105.2,58.25,37.91,58.03,66.1,120.86,84.6,63.78,49.29,150.34,26.88
115,104.51,53.44,37.66,56.07,61.38,119.75,80.05,59.94,48.75,166.88,27.32
116,103.51,58.14,40.82,58.26,65.28,115.88,85.2,63.07,52.38,167.34,27.72
117,105.07,50.87,35.1,52.58,57.03,120.8,73.47,56.59,47.78,158.06,25.75
118,103,57.61,42.75,56.88,64.29,107.03,83.1,61.58,53.57,177.72,30.16
119,98.78,60.12,47.07,59.81,70.38,98.58,90.61,65.44,57.97,157.72,30.28
120,96.19,59.94,47.09,60.29,72.74,94.25,94.04,67.7,59.28,147.18,29.27
121,96.56,60.44,48.11,60.44,72.92,95.78,93.71,68,60.9,149.5,30.13
122,94.45,61.39,48.9,62.01,75.18,94.17,95.98,70.11,63.35,149.88,31.25
123,93.17,58.52,49.87,60.75,75.95,92.29,95.94,69.13,60.73,139.84,31
124,92.8,57.82,46.9,60.51,74.38,90.81,92.79,68.29,61.23,139.35,30.43
125,92.91,57.31,46.57,59.51,72.29,90.47,88.69,67.24,60.8,130.45,29.02
126,93.53,56.4,48.1,57.8,72.39,93.41,88.89,65.6,58.7,138,27.67
127,96.5,54.78,47.06,56.41,69.05,96.23,85.29,62.74,57.15,139.11,26.33
128,99.82,56.68,48.58,55.7,67.3,99.69,81.26,62.64,59.46,136.03,26.3
129,99.2,53.66,46.11,52.13,63.13,104.25,76.24,60.09,56.22,130.99,24.57
130,97.89,52.6,41.54,48.5,58.79,104.88,69.12,57.24,52.01,122.29,22.8
131,96.88,51.62,42.08,49.88,60.91,100.1,70.89,58.54,53.75,117.84,23.29
132,95.14,46.59,39.3,46.98,56.79,100.43,66.68,55.42,49.53,117.73,21.74
133,93.96,46.25,36.62,47.06,58,98.54,67.2,54.98,46.29,121.49,21.29
134,91.22,52.36,40.94,51.31,65.76,93.6,73.5,61.05,52.4,117.57,23.22
135,88.97,50.22,43.51,52.49,66.24,88.77,74.88,62.41,56.41,112.65,24.21
136,90.23,47,41.21,50.93,62.98,89.82,72.38,59.58,54.85,109.72,23.65
137,90.76,41.17,36.83,47.21,54.89,92.1,63.83,54.77,50.46,104.04,22.39
138,88.96,44.57,43.2,50.83,60.26,89.29,70.2,59.71,57.25,111.37,25.38
139,91.43,43.03,40.96,48.79,56.01,93.17,65.22,56.79,55.31,110.84,23.69
140,90.85,41.49,41.11,48.35,55.22,93.44,64.65,56.9,56.55,108.19,24.15
141,92.09,41.31,40.18,47.16,57.7,96.05,66.6,56.69,55.5,103.56,23.16
142,91.75,40.24,37.84,45.86,55.68,96.17,64.55,55,54.68,97.7,22.23
143,89.77,38.12,35.44,43.69,53.12,92.68,60.75,52.02,50.32,92.79,22.93
144,91.83,29.65,31.14,40.25,45.18,95.69,54.56,45.89,44.8,90.19,20.85
145,89.07,33.72,33.74,41.94,48.49,89.97,58.38,49.18,48.43,92.17,23.85
146,93.77,29.93,29.93,38.67,44.43,97.69,51.27,46.22,43.72,91.09,21.59
147,95.31,29.7,28.12,37.61,44.23,103.29,50.1,44.63,40.71,87.88,20.95
148,94.16,23.63,23.38,33.53,35.99,101.11,42.23,38.83,35.4,90.8,19.55
149,95.31,28.83,23.86,36.28,42.52,105.21,48.97,43.53,38.97,93.17,19.87
150,98.3,32.1,23.9,36.37,46.43,114.02,49.09,47.08,41.68,80.88,20.78
151,96.97,32.92,24.43,35.77,44.73,113.65,46.93,47.73,43.14,82.6,20.95
152,89.84,31.81,22.22,35.54,44.89,95.17,47.29,47.77,41.2,73.3,23.75
153,87.38,40.48,24.01,37.16,49.5,95.01,51.85,49.58,42.95,83.31,27.06
154,91.34,58.8,33.67,50.67,66.87,98.02,72.88,64.91,57.83,77.56,32.95
155,89.19,61.6,39.59,54.83,69.79,93.41,79.75,68.87,62.84,78.8,37.33
156,87.52,58.8,43.67,54.35,64.45,90.79,76.37,67.18,66.7,94.22,42.78
157,86.24,63.07,47.43,58.13,68.77,89.07,80.41,73.19,73.07,87.25,44
158,88.65,68.24,51.71,59.82,69.96,91.96,79.54,78.55,78.2,89.39,40.59
159,89.4,66.27,48.64,57.67,69.05,92.77,76.37,76.71,75.31,90.62,38.88
160,92.33,61.5,42.16,53.64,64.35,96.94,70.2,72.25,68.43,93.04,36.52
161,88.98,59.4,46.12,55.56,66.75,91.88,75.2,75.29,70.6,89.15,33.73
162,89.02,56.59,45.45,56.32,65.08,94.92,76.06,75.57,72.39,86.7,31.71
163,86.95,61.16,49.74,61.02,71.8,93.03,84,80.54,79.13,78.67,30.55
164,86.49,63.45,50.25,59.8,70.71,92.91,81.15,79.24,80.94,79.47,31.31
165,84.75,70.9,51.1,61.55,76.38,90.47,87.32,84.2,82.09,74.6,28.83
166,83.43,71.84,48.33,61.1,78.1,87.89,85.72,86.69,80.7,72.34,27.69
167,83.3,70,42.43,58.24,77.7,87.12,83.68,83.75,76.58,65.4,25.25
168,81.33,69.7,48.01,61.63,81.2,85.82,87.08,88.05,82.91,67.47,26.28
169,80.71,70.07,43.48,59.2,82.42,84.22,85.04,86.92,79.95,64.43,26.14
170,82.01,74.12,41.28,59.06,82.52,86.57,84.04,88.06,79.68,64.75,25.29
171,83.2,80.75,40.9,58.26,83.26,88.8,83.72,86.19,79.25,67.73,25.35
172,83.34,79.45,38.88,56.23,81.4,88.9,81.38,83.81,76.53,65.84,24.96
173,82.81,83.91,39.17,57.4,83.3,88.84,83.5,84.71,76.68,67.72,25.24
174,82.12,81.65,38.69,56.53,80.48,87.61,79.68,83.6,74.45,64.33,23.5
175,83.07,75.21,37.32,54.79,79.07,89.39,77.9,81.95,72.38,61.65,24.75
176,83.56,77.85,35.65,54.41,78.26,90.95,77.77,79.86,70.7,63.7,25.16
177,82.59,76.29,34.58,54.26,78.38,88.46,78.13,80.05,70.89,59.29,24.53
178,83.23,71.59,32.33,52.24,74.48,89.93,72.7,77.07,67.2,58.74,23.35
179,82.18,70.79,32.38,50.47,72.16,87.52,70.75,76,67.06,61,24.67
180,81.22,69.11,32.34,49.44,71.6,85.7,70.06,74.83,66.15,63.11,25.61
181,79.71,64.37,29.51,49.37,69.25,83.23,70.27,71.63,62.28,57.54,24.65